property_id,domain,name,owasp_agentic,owasp_llm,mitre_atlas,skil_controls,skil_status
ASP-01.01,Instruction & Goal Integrity,Instruction Hierarchy Preservation,ASI01;ASI09;ASI10,LLM01;LLM06;LLM07,LLM Prompt Injection;LLM Jailbreak;AI Agent Context Poisoning;Modify AI Agent Configuration,SKIL-PI-001,IMPLEMENTED
ASP-01.02,Instruction & Goal Integrity,Role & Context Integrity,ASI01;ASI09;ASI10,LLM01;LLM06;LLM07,LLM Prompt Injection;LLM Jailbreak;AI Agent Context Poisoning;Modify AI Agent Configuration,SKIL-PI-002;SKIL-PI-003,IMPLEMENTED
ASP-01.03,Instruction & Goal Integrity,Refusal Preservation,ASI01;ASI09;ASI10,LLM01;LLM06;LLM07,LLM Prompt Injection;LLM Jailbreak;AI Agent Context Poisoning;Modify AI Agent Configuration,SKIL-INTENT-REFUSAL,IMPLEMENTED
ASP-01.04,Instruction & Goal Integrity,Warning & Safety-Context Preservation,ASI01;ASI09;ASI10,LLM01;LLM06;LLM07,LLM Prompt Injection;LLM Jailbreak;AI Agent Context Poisoning;Modify AI Agent Configuration,SKIL-INTENT-WARNING,IMPLEMENTED
ASP-01.05,Instruction & Goal Integrity,Guardrail Integrity,ASI01;ASI09;ASI10,LLM01;LLM06;LLM07,LLM Prompt Injection;LLM Jailbreak;AI Agent Context Poisoning;Modify AI Agent Configuration,SKIL-INTENT-GUARDRAIL;SKIL-GUARDRAIL-I18N-001,IMPLEMENTED
ASP-01.06,Instruction & Goal Integrity,Hidden Instruction Resistance,ASI01;ASI09;ASI10,LLM01;LLM06;LLM07,LLM Prompt Injection;LLM Jailbreak;AI Agent Context Poisoning;Modify AI Agent Configuration,SKIL-UNI-001;SKIL-UNI-003,PARTIAL
ASP-01.07,Instruction & Goal Integrity,Covert Behavioral Steering Resistance,ASI01;ASI09;ASI10,LLM01;LLM06;LLM07,LLM Prompt Injection;LLM Jailbreak;AI Agent Context Poisoning;Modify AI Agent Configuration,SKIL-INTENT-BEHAVIOR-MANIPULATION,IMPLEMENTED
ASP-01.08,Instruction & Goal Integrity,Goal & Scope Integrity,ASI01;ASI09;ASI10,LLM01;LLM06;LLM07,LLM Prompt Injection;LLM Jailbreak;AI Agent Context Poisoning;Modify AI Agent Configuration,SKIL-INTENT-SCOPE,PARTIAL
ASP-02.01,"Discovery, Metadata & Selection Integrity",Metadata Authenticity,ASI01;ASI04;ASI09,LLM01;LLM03;LLM06;LLM09,AI Supply Chain Reputation Inflation;AI Supply Chain Rug Pull;Prompt Infiltration via Public-Facing Application,,NEW
ASP-02.02,"Discovery, Metadata & Selection Integrity",Description–Behavior Consistency,ASI01;ASI04;ASI09,LLM01;LLM03;LLM06;LLM09,AI Supply Chain Reputation Inflation;AI Supply Chain Rug Pull;Prompt Infiltration via Public-Facing Application,SKIL-MCP-006;SKIL-INTENT-DESCRIPTION;SKIL-INTENT-IMPLEMENTATION,PARTIAL
ASP-02.03,"Discovery, Metadata & Selection Integrity",Trigger Specificity,ASI01;ASI04;ASI09,LLM01;LLM03;LLM06;LLM09,AI Supply Chain Reputation Inflation;AI Supply Chain Rug Pull;Prompt Infiltration via Public-Facing Application,SKIL-TRIGGER-GENERIC;SKIL-TA-001,IMPLEMENTED
ASP-02.04,"Discovery, Metadata & Selection Integrity",Trigger Shadowing Resistance,ASI01;ASI04;ASI09,LLM01;LLM03;LLM06;LLM09,AI Supply Chain Reputation Inflation;AI Supply Chain Rug Pull;Prompt Infiltration via Public-Facing Application,SKIL-TRIGGER-SHADOW,IMPLEMENTED
ASP-02.05,"Discovery, Metadata & Selection Integrity",Retrieval Keyword-Stuffing Resistance,ASI01;ASI04;ASI09,LLM01;LLM03;LLM06;LLM09,AI Supply Chain Reputation Inflation;AI Supply Chain Rug Pull;Prompt Infiltration via Public-Facing Application,,NEW
ASP-02.06,"Discovery, Metadata & Selection Integrity",Semantic Camouflage Resistance,ASI01;ASI04;ASI09,LLM01;LLM03;LLM06;LLM09,AI Supply Chain Reputation Inflation;AI Supply Chain Rug Pull;Prompt Infiltration via Public-Facing Application,SKIL-SEM-SECURITY;SKIL-INTENT-DESCRIPTION,PARTIAL
ASP-02.07,"Discovery, Metadata & Selection Integrity",Sybil & Reputation Manipulation Resistance,ASI01;ASI04;ASI09,LLM01;LLM03;LLM06;LLM09,AI Supply Chain Reputation Inflation;AI Supply Chain Rug Pull;Prompt Infiltration via Public-Facing Application,,NEW
ASP-02.08,"Discovery, Metadata & Selection Integrity",Planner Selection Integrity,ASI01;ASI04;ASI09,LLM01;LLM03;LLM06;LLM09,AI Supply Chain Reputation Inflation;AI Supply Chain Rug Pull;Prompt Infiltration via Public-Facing Application,SKIL-INTENT-DESCRIPTION;SKIL-CAP-DECLARATION-MISSING,PARTIAL
ASP-03.01,Data Confidentiality & Privacy,Secret & Environment Harvesting Protection,ASI01;ASI02;ASI03;ASI06;ASI07,LLM02;LLM06;LLM07,Exfiltration via AI Agent Tool Invocation;Extract LLM System Prompt;AI Agent Tool Credential Harvesting,SKIL-SEC-001;SKIL-TAINT-NETWORK,IMPLEMENTED
ASP-03.02,Data Confidentiality & Privacy,Credential File Protection,ASI01;ASI02;ASI03;ASI06;ASI07,LLM02;LLM06;LLM07,Exfiltration via AI Agent Tool Invocation;Extract LLM System Prompt;AI Agent Tool Credential Harvesting,SKIL-SEC-001,IMPLEMENTED
ASP-03.03,Data Confidentiality & Privacy,Conversation & Context Confidentiality,ASI01;ASI02;ASI03;ASI06;ASI07,LLM02;LLM06;LLM07,Exfiltration via AI Agent Tool Invocation;Extract LLM System Prompt;AI Agent Tool Credential Harvesting,SKIL-EX-001;SKIL-INTENT-EXTERNAL-TRANSFER,PARTIAL
ASP-03.04,Data Confidentiality & Privacy,Privileged Instruction Confidentiality,ASI01;ASI02;ASI03;ASI06;ASI07,LLM02;LLM06;LLM07,Exfiltration via AI Agent Tool Invocation;Extract LLM System Prompt;AI Agent Tool Credential Harvesting,SKIL-PL-001;SKIL-PROMPT-INDIRECT-LEAK,PARTIAL
ASP-03.05,Data Confidentiality & Privacy,External Data Exfiltration Prevention,ASI01;ASI02;ASI03;ASI06;ASI07,LLM02;LLM06;LLM07,Exfiltration via AI Agent Tool Invocation;Extract LLM System Prompt;AI Agent Tool Credential Harvesting,SKIL-EX-001;SKIL-NET-001;SKIL-TAINT-NETWORK;SKIL-INTENT-EXTERNAL-TRANSFER,IMPLEMENTED
ASP-03.06,Data Confidentiality & Privacy,Cloud/Object-Storage Exfiltration Prevention,ASI01;ASI02;ASI03;ASI06;ASI07,LLM02;LLM06;LLM07,Exfiltration via AI Agent Tool Invocation;Extract LLM System Prompt;AI Agent Tool Credential Harvesting,SKIL-BOUNDARY-CLOUD-EXFIL;SKIL-BOUNDARY-CLOUD-SDK-UPLOAD,IMPLEMENTED
ASP-03.07,Data Confidentiality & Privacy,Data Minimization,ASI01;ASI02;ASI03;ASI06;ASI07,LLM02;LLM06;LLM07,Exfiltration via AI Agent Tool Invocation;Extract LLM System Prompt;AI Agent Tool Credential Harvesting,SKIL-DATA-OVERBROAD-COLLECTION,PARTIAL
